StudID,CourseCode,CourseNum,Section,Year,Semester,Elective,Grade
726,CENG,241,,2010,1,M,FF
726,ENG,401,,2010,1,M,FF
726,MCS,155,,2010,1,M,FF
726,MCS,205,,2010,1,M,FF
726,PES,244,,2010,1,E,BA
726,CENG,114,,2010,3,M,FF
726,CENG,222,,2010,3,M,FF
726,CENG,272,,2010,3,M,FF
726,ENG,206,,2010,3,M,NA
726,PES,334,,2010,3,E,BB
726,CENG,114,,2010,5,M,DC
726,CENG,218,,2010,5,M,DC
726,MCS,205,,2010,5,M,FF
726,CENG,241,,2011,2,M,FD
726,MCS,155,,2011,2,M,FD
726,MCS,205,,2011,2,M,DD
726,CENG,222,,2011,4,M,FD
726,CENG,272,,2011,4,M,DD
726,ENG,206,,2011,4,M,DD
726,CENG,200,,2011,5,M,S
726,ESR,101,,2012,1,E,BB
726,CENG,331,,2012,1,M,DD
726,CENG,353,,2012,1,M,DC
726,CENG,329,,2012,1,M,CC
726,CENG,407,,2012,1,M,BB
726,CENG,487,,2012,1,M,DD
726,CENG,328,,2012,3,M,FF
726,CENG,356,,2012,3,M,CB
726,CENG,408,,2012,3,M,BA
726,MAN,432,,2012,3,M,DD
726,CENG,344,,2012,3,M,CC
726,CENG,328,,2013,3,M,FF
726,CENG,334,,2013,3,M,CC
726,CENG,222,,2013,3,M,DD
726,CENG,292,,2013,3,M,DC
726,CENG,442,,2013,3,M,FF
739,CENG,111,,2010,1,M,BA
739,CENG,407,,2010,1,M,AA
739,CENG,460,,2010,1,E,AA
739,CENG,468,,2010,1,E,AA
739,CENG,487,,2010,1,M,CB
739,CENG,491,,2010,1,M,DC
739,ENG,401,,2010,1,M,BA
739,CENG,408,,2010,3,M,AA
739,CENG,442,,2010,3,M,CC
739,MAN,432,,2010,3,M,BA
739,PES,243,,2010,3,E,AA
739,JOR,103,,2010,3,E,AA
739,THEA,288,,2010,3,E,AA
740,CENG,329,,2010,1,M,CC
740,CENG,351,,2010,1,M,CC
740,CENG,375,,2010,1,M,CB
740,CENG,460,,2010,1,E,BA
740,CENG,487,,2010,1,M,BB
740,PES,244,,2010,1,E,BA
740,JOR,103,,2010,1,E,BA
740,CENG,328,,2010,3,M,CB
740,CENG,334,,2010,3,M,DD
740,CENG,344,,2010,3,M,DC
740,CENG,356,,2010,3,M,CB
740,CENG,407,,2010,3,M,AA
740,CENG,442,,2010,3,M,DD
740,CENG,466,,2010,3,E,AA
740,MAN,432,,2010,3,M,BB
740,CENG,300,,2010,5,M,S
740,CENG,491,,2010,5,M,CB
740,MCS,258,,2010,5,M,FF
740,CENG,408,,2011,1,M,CB
740,CENG,468,,2011,1,E,AA
740,ECE,281,,2011,1,M,DD
740,ESR,101,,2011,1,E,BB
740,ENG,405,,2011,1,M,DC
740,CEC,301,,2011,1,E,CB
740,MCS,258,,2011,91,M,CB
745,CENG,407,,2010,1,M,AA
745,CENG,460,,2010,1,E,AA
745,CENG,468,,2010,1,E,AA
745,CENG,487,,2010,1,M,BA
745,CENG,491,,2010,1,M,DC
745,ENG,401,,2010,1,M,CB
745,ALM,101,,2010,3,E,BB
745,CENG,408,,2010,3,M,AA
745,CENG,442,,2010,3,M,CC
745,CENG,466,,2010,3,E,AA
745,MAN,432,,2010,3,M,BA
745,PES,246,,2010,3,E,AA
745,ITAL,101,,2010,3,E,AA
746,CENG,111,,2010,1,M,AA
