StudID,Entry,Leave,Graduate,ECTS,Avg,Sex,Rank,Scholarship
963,2009,2011,,65,3.86,M,14820,100
797,2007,,2013,216,2.26,M,70850,0
899,2008,,2013,248,2.21,F,111256,0
972,2009,,2012,234,3.57,F,0,100
953,2009,,2014,266,3.81,F,22747,100
726,2006,,2016,217,2.03,M,75311,0
886,2008,2015,,115,1.29,M,19645,100
945,2009,2011,,10,3,F,26191,100
944,2009,,2014,261,3.69,F,24351,100
801,2007,,2012,220,3.39,F,15429,100
804,2007,,2011,222,2.62,M,60685,0
821,2007,,2012,221,3.06,M,100698,0
913,2008,,2016,245,2,F,17473,100
907,2008,,2013,243,3.54,F,19277,100
753,2006,,2011,224,3.53,F,14391,100
959,2009,,2014,246,2.04,F,163323,0
867,2008,,2013,247,2.33,F,101445,0
875,2008,,2013,243,2.74,M,89313,0
763,2006,,2011,242,3.18,M,60233,0
815,2007,,2012,215,3.59,M,10212,100
957,2009,,2014,244,3.62,F,24386,100
769,2006,,2011,239,3.05,F,72807,0
740,2006,,2012,226,2.35,M,78431,0
830,2007,,2014,221,2.21,F,13546,100
802,2007,,2012,231,2.7,M,36348,0
849,2007,,2011,221,2.23,M,13269,100
828,2007,,2012,220,3.42,M,14976,100
771,2006,,2011,225,2.99,F,77335,0
866,2008,,2013,243,2.47,M,94036,0
810,2007,,2017,217,2.01,M,91499,0
748,2006,,2011,232,2.52,M,69663,0
918,2009,,2011,224,3.2,M,0,100
960,2009,,2016,243,2.52,M,26698,100
880,2008,,2013,243,2.43,F,71760,0
887,2008,,2013,243,2.3,F,101831,0
812,2007,,2013,213,2,M,102619,0
922,2009,,2015,247,2.4,F,147279,0
745,2006,,2011,240,3,M,68019,0
755,2006,,2011,222,3.04,M,14664,100
739,2006,,2011,241,3.22,F,63832,0
937,2009,,2016,247,2.06,F,26891,100
746,2006,,2011,232,3.72,F,12983,100
868,2008,,2013,223,2.1,M,113051,0
901,2008,,2013,251,2.97,F,114076,0
